"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230313T063855_20230313T063923_047622_05B830_DC34","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47622","125","408","2023-03-13T06:39:23.000000","2023-03-13T06:38:55.000000","SLC","2023-03-13T06:38:55.000000","2023-03-13T06:39:23.000000","55.1628","-5.4356","55.770428","-3.117666","56.188423","-7.237723","54.105938","-3.734071","54.518944","-7.683364","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T063855_20230313T063923_047622_05B830_DC34.zip","4297.584492683411","","","0","S1A_IWDV_0408_0413_047622_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T063830_20230313T063857_047622_05B830_17E6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47622","125","403","2023-03-13T06:38:57.000000","2023-03-13T06:38:30.000000","SLC","2023-03-13T06:38:30.000000","2023-03-13T06:38:57.000000","56.6731","-4.9415","57.24736","-2.537429","57.670795","-6.824515","55.642551","-3.166407","56.06012","-7.272701","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T063830_20230313T063857_047622_05B830_17E6.zip","4211.311856269836","","","0","S1A_IWDV_0403_0408_047622_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230311T180749_20230311T180816_047600_05B76F_F975","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47600","103","183","2023-03-11T18:08:16.000000","2023-03-11T18:07:49.000000","SLC","2023-03-11T18:07:49.000000","2023-03-11T18:08:16.000000","56.9952","-6.149","55.963436","-7.919619","56.377739","-3.815534","57.574028","-8.557112","57.994366","-4.269509","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230311T180749_20230311T180816_047600_05B76F_F975.zip","4062.629439353943","","","0","S1A_IWDV_0183_0189_047600_103","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230311T180724_20230311T180751_047600_05B76F_B68F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47600","103","178","2023-03-11T18:07:51.000000","2023-03-11T18:07:24.000000","SLC","2023-03-11T18:07:24.000000","2023-03-11T18:07:51.000000","55.5132","-5.666","54.483524","-7.375421","54.893848","-3.421085","56.096474","-7.979081","56.511791","-3.857068","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230311T180724_20230311T180751_047600_05B76F_B68F.zip","4162.807278633118","","","0","S1A_IWDV_0178_0183_047600_103","","","","","","","","","","",""
