"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230315T062321_20230315T062348_047651_05B91D_89C2","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47651","154","419","2023-03-15T06:23:48.000000","2023-03-15T06:23:21.000000","SLC","2023-03-15T06:23:21.000000","2023-03-15T06:23:48.000000","51.9346","-2.3145","52.524654","-0.182108","52.934177","-3.990908","50.906464","-0.720027","51.313019","-4.391355","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230315T062321_20230315T062348_047651_05B91D_89C2.zip","4291.230763435364","","","0","S1A_IWDV_0419_0424_047651_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230315T062256_20230315T062324_047651_05B91D_320D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47651","154","414","2023-03-15T06:23:24.000000","2023-03-15T06:22:56.000000","SLC","2023-03-15T06:22:56.000000","2023-03-15T06:23:24.000000","53.4438","-1.8626","54.055962","0.359798","54.469555","-3.594371","52.388203","-0.222062","52.797894","-4.021482","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230315T062256_20230315T062324_047651_05B91D_320D.zip","4393.937685966492","","","0","S1A_IWDV_0413_0420_047651_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T175028_20230313T175055_047629_05B868_2A70","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47629","132","172","2023-03-13T17:50:55.000000","2023-03-13T17:50:28.000000","SLC","2023-03-13T17:50:28.000000","2023-03-13T17:50:55.000000","53.8268","-1.018","52.802956","-2.659945","53.208382","1.130072","54.411865","-3.227201","54.821213","0.713655","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T175028_20230313T175055_047629_05B868_2A70.zip","4258.733837127686","","","0","S1A_IWDV_0172_0178_047629_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230311T180634_20230311T180701_047600_05B76F_8DF4","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47600","103","168","2023-03-11T18:07:01.000000","2023-03-11T18:06:34.000000","SLC","2023-03-11T18:06:34.000000","2023-03-11T18:07:01.000000","52.4928","-4.736","51.470192","-6.33295","51.873741","-2.651905","53.080101","-6.876712","53.486855","-3.055849","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230311T180634_20230311T180701_047600_05B76F_8DF4.zip","4063.4269485473633","","","0","S1A_IWDV_0168_0174_047600_103","","","","","","","","","","",""
