"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230315T173623_20230315T173650_047658_05B960_F84E","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47658","161","201","2023-03-15T17:36:50.000000","2023-03-15T17:36:23.000000","SLC","2023-03-15T17:36:23.000000","2023-03-15T17:36:50.000000","62.3311","0.0498","61.287144","-2.00998","61.730213","2.812525","62.881527","-2.818676","63.336052","2.266852","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230315T173623_20230315T173650_047658_05B960_F84E.zip","3583.770097732544","","","0","S1A_IWDV_0201_0206_047658_161","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230315T173559_20230315T173626_047658_05B960_1A12","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47658","161","196","2023-03-15T17:36:26.000000","2023-03-15T17:35:59.000000","SLC","2023-03-15T17:35:59.000000","2023-03-15T17:36:26.000000","60.855","0.6546","59.81596","-1.32018","60.250191","3.285054","61.41296","-2.071352","61.856857","2.77081","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230315T173559_20230315T173626_047658_05B960_1A12.zip","3558.34854888916","","","0","S1A_IWDV_0196_0202_047658_161","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230315T173534_20230315T173601_047658_05B960_4E72","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47658","161","191","2023-03-15T17:36:01.000000","2023-03-15T17:35:34.000000","SLC","2023-03-15T17:35:34.000000","2023-03-15T17:36:01.000000","59.3774","1.2211","58.341866","-0.675306","58.768665","3.733275","59.942608","-1.377646","60.377541","3.245424","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230315T173534_20230315T173601_047658_05B960_4E72.zip","3409.1173162460327","","","0","S1A_IWDV_0191_0196_047658_161","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230315T062116_20230315T062143_047651_05B91D_44AB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47651","154","394","2023-03-15T06:21:43.000000","2023-03-15T06:21:16.000000","SLC","2023-03-15T06:21:16.000000","2023-03-15T06:21:43.000000","59.3954","0.1254","59.960155","2.738341","60.397346","-1.912548","58.357677","2.034256","58.786674","-2.400468","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230315T062116_20230315T062143_047651_05B91D_44AB.zip","3798.9624919891357","","","0","S1A_IWDV_0393_0400_047651_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230315T062052_20230315T062119_047651_05B91D_F5D7","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47651","154","389","2023-03-15T06:21:19.000000","2023-03-15T06:20:52.000000","SLC","2023-03-15T06:20:52.000000","2023-03-15T06:21:19.000000","60.8734","0.6924","61.431023","3.433359","61.877243","-1.438201","59.832054","2.680131","60.268532","-1.952596","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230315T062052_20230315T062119_047651_05B91D_F5D7.zip","3558.3614263534546","","","0","S1A_IWDV_0389_0394_047651_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T175233_20230313T175301_047629_05B868_75FA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47629","132","197","2023-03-13T17:53:01.000000","2023-03-13T17:52:33.000000","SLC","2023-03-13T17:52:33.000000","2023-03-13T17:53:01.000000","61.2807","-3.6166","60.238686","-5.598472","60.671852","-0.964764","61.842377","-6.36728","62.285633","-1.490029","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T175233_20230313T175301_047629_05B868_75FA.zip","3639.5791025161743","","","0","S1A_IWDV_0197_0203_047629_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T175209_20230313T175236_047629_05B868_FE06","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47629","132","193","2023-03-13T17:52:36.000000","2023-03-13T17:52:09.000000","SLC","2023-03-13T17:52:09.000000","2023-03-13T17:52:36.000000","59.8041","-3.0405","58.766544","-4.943141","59.191978","-0.510217","60.372356","-5.660131","60.806282","-1.007211","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T175209_20230313T175236_047629_05B868_FE06.zip","3723.4150171279907","","","0","S1A_IWDV_0192_0198_047629_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T063740_20230313T063807_047622_05B830_FB09","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47622","125","393","2023-03-13T06:38:07.000000","2023-03-13T06:37:40.000000","SLC","2023-03-13T06:37:40.000000","2023-03-13T06:38:07.000000","59.6322","-3.8912","60.195457","-1.264389","60.633324","-5.937704","58.595112","-1.97543","59.024555","-6.429906","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T063740_20230313T063807_047622_05B830_FB09.zip","4005.7436952590942","","","0","S1A_IWDV_0393_0398_047622_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T063715_20230313T063742_047622_05B830_0831","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47622","125","388","2023-03-13T06:37:42.000000","2023-03-13T06:37:15.000000","SLC","2023-03-13T06:37:15.000000","2023-03-13T06:37:42.000000","61.1092","-3.3183","61.665642","-0.561257","62.112789","-5.458302","60.068001","-1.32298","60.505138","-5.977972","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T063715_20230313T063742_047622_05B830_0831.zip","3976.769745826721","","","0","S1A_IWDV_0388_0393_047622_125","","","","","","","","","","",""
