"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230316T181450_20230316T181517_047673_05B9DC_83C5","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47673","1","169","2023-03-16T18:15:17.000000","2023-03-16T18:14:50.000000","SLC","2023-03-16T18:14:50.000000","2023-03-16T18:15:17.000000","52.6518","-6.8487","51.624809","-8.458223","52.0308","-4.747484","53.240646","-9.007473","53.649971","-5.154455","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230316T181450_20230316T181517_047673_05B9DC_83C5.zip","4024.2189264297485","","","0","S1A_IWDV_0168_0174_047673_001","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230316T181425_20230316T181452_047673_05B9DC_5CF0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47673","1","164","2023-03-16T18:14:52.000000","2023-03-16T18:14:25.000000","SLC","2023-03-16T18:14:25.000000","2023-03-16T18:14:52.000000","51.167","-6.418","50.141174","-7.977257","50.544819","-4.386045","51.758957","-8.502849","52.165199","-4.780764","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230316T181425_20230316T181452_047673_05B9DC_5CF0.zip","3594.526240348816","","","0","S1A_IWDV_0163_0169_047673_001","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T064010_20230313T064037_047622_05B830_F0D2","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47622","125","423","2023-03-13T06:40:37.000000","2023-03-13T06:40:10.000000","SLC","2023-03-13T06:40:10.000000","2023-03-13T06:40:37.000000","50.6824","-6.7739","51.271515","-4.705938","51.67844","-8.401044","49.658936","-5.222926","50.063473","-8.790592","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T064010_20230313T064037_047622_05B830_F0D2.zip","4070.06151676178","","","0","S1A_IWDV_0423_0428_047622_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T063945_20230313T064012_047622_05B830_E52F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47622","125","418","2023-03-13T06:40:12.000000","2023-03-13T06:39:45.000000","SLC","2023-03-13T06:39:45.000000","2023-03-13T06:40:12.000000","52.1679","-6.3508","52.754658","-4.211408","53.164223","-8.033037","51.142998","-4.751308","51.549473","-8.434454","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T063945_20230313T064012_047622_05B830_E52F.zip","4215.800905227661","","","0","S1A_IWDV_0418_0423_047622_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230311T180634_20230311T180701_047600_05B76F_8DF4","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47600","103","168","2023-03-11T18:07:01.000000","2023-03-11T18:06:34.000000","SLC","2023-03-11T18:06:34.000000","2023-03-11T18:07:01.000000","52.4928","-4.736","51.470192","-6.33295","51.873741","-2.651905","53.080101","-6.876712","53.486855","-3.055849","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230311T180634_20230311T180701_047600_05B76F_8DF4.zip","4063.4269485473633","","","0","S1A_IWDV_0168_0174_047600_103","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230311T180609_20230311T180636_047600_05B76F_BAAB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47600","103","163","2023-03-11T18:06:36.000000","2023-03-11T18:06:09.000000","SLC","2023-03-11T18:06:09.000000","2023-03-11T18:06:36.000000","51.008","-4.3086","49.986595","-5.856104","50.387985","-2.292454","51.598301","-6.376671","52.002178","-2.684369","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230311T180609_20230311T180636_047600_05B76F_BAAB.zip","4116.47340965271","","","0","S1A_IWDV_0163_0169_047600_103","","","","","","","","","","",""
