"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230315T062231_20230315T062258_047651_05B91D_FA52","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47651","154","409","2023-03-15T06:22:58.000000","2023-03-15T06:22:31.000000","SLC","2023-03-15T06:22:31.000000","2023-03-15T06:22:58.000000","54.9557","-1.3976","55.535191","0.900736","55.952858","-3.20261","53.927231","0.310033","54.340233","-3.630089","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230315T062231_20230315T062258_047651_05B91D_FA52.zip","4054.5350427627563","","","0","S1A_IWDV_0408_0415_047651_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T175118_20230313T175146_047629_05B868_B47B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47629","132","182","2023-03-13T17:51:46.000000","2023-03-13T17:51:18.000000","SLC","2023-03-13T17:51:18.000000","2023-03-13T17:51:46.000000","56.8202","-1.9774","55.763046","-3.728995","56.17646","0.350394","57.425491","-4.382571","57.844997","-0.115977","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T175118_20230313T175146_047629_05B868_B47B.zip","4148.364970207214","","","0","S1A_IWDV_0182_0188_047629_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T175053_20230313T175120_047629_05B868_E6DC","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47629","132","177","2023-03-13T17:51:20.000000","2023-03-13T17:50:53.000000","SLC","2023-03-13T17:50:53.000000","2023-03-13T17:51:20.000000","55.3097","-1.4818","54.283333","-3.180859","54.692337","0.747459","55.891296","-3.777923","56.30513","0.31522","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T175053_20230313T175120_047629_05B868_E6DC.zip","3911.678854942322","","","0","S1A_IWDV_0177_0183_047629_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T063855_20230313T063923_047622_05B830_DC34","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47622","125","408","2023-03-13T06:39:23.000000","2023-03-13T06:38:55.000000","SLC","2023-03-13T06:38:55.000000","2023-03-13T06:39:23.000000","55.1628","-5.4356","55.770428","-3.117666","56.188423","-7.237723","54.105938","-3.734071","54.518944","-7.683364","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T063855_20230313T063923_047622_05B830_DC34.zip","4297.584492683411","","","0","S1A_IWDV_0408_0413_047622_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T063830_20230313T063857_047622_05B830_17E6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47622","125","403","2023-03-13T06:38:57.000000","2023-03-13T06:38:30.000000","SLC","2023-03-13T06:38:30.000000","2023-03-13T06:38:57.000000","56.6731","-4.9415","57.24736","-2.537429","57.670795","-6.824515","55.642551","-3.166407","56.06012","-7.272701","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T063830_20230313T063857_047622_05B830_17E6.zip","4211.311856269836","","","0","S1A_IWDV_0403_0408_047622_125","","","","","","","","","","",""
