"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230315T062256_20230315T062324_047651_05B91D_320D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47651","154","414","2023-03-15T06:23:24.000000","2023-03-15T06:22:56.000000","SLC","2023-03-15T06:22:56.000000","2023-03-15T06:23:24.000000","53.4438","-1.8626","54.055962","0.359798","54.469555","-3.594371","52.388203","-0.222062","52.797894","-4.021482","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230315T062256_20230315T062324_047651_05B91D_320D.zip","4393.937685966492","","","0","S1A_IWDV_0413_0420_047651_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230315T062231_20230315T062258_047651_05B91D_FA52","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47651","154","409","2023-03-15T06:22:58.000000","2023-03-15T06:22:31.000000","SLC","2023-03-15T06:22:31.000000","2023-03-15T06:22:58.000000","54.9557","-1.3976","55.535191","0.900736","55.952858","-3.20261","53.927231","0.310033","54.340233","-3.630089","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230315T062231_20230315T062258_047651_05B91D_FA52.zip","4054.5350427627563","","","0","S1A_IWDV_0408_0415_047651_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T175028_20230313T175055_047629_05B868_2A70","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47629","132","172","2023-03-13T17:50:55.000000","2023-03-13T17:50:28.000000","SLC","2023-03-13T17:50:28.000000","2023-03-13T17:50:55.000000","53.8268","-1.018","52.802956","-2.659945","53.208382","1.130072","54.411865","-3.227201","54.821213","0.713655","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T175028_20230313T175055_047629_05B868_2A70.zip","4258.733837127686","","","0","S1A_IWDV_0172_0178_047629_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230313T175004_20230313T175031_047629_05B868_62C5","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47629","132","168","2023-03-13T17:50:31.000000","2023-03-13T17:50:04.000000","SLC","2023-03-13T17:50:04.000000","2023-03-13T17:50:31.000000","52.3435","-0.5733","51.321522","-2.162162","51.724049","1.500577","52.931606","-2.703214","53.337246","1.097935","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230313T175004_20230313T175031_047629_05B868_62C5.zip","4405.161817550659","","","0","S1A_IWDV_0167_0173_047629_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230310T061502_20230310T061529_047578_05B6A8_DF86","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47578","81","418","2023-03-10T06:15:29.000000","2023-03-10T06:15:02.000000","SLC","2023-03-10T06:15:02.000000","2023-03-10T06:15:29.000000","52.3086","-0.1511","52.897816","2.000231","53.308094","-1.842228","51.280151","1.456324","51.687279","-2.245728","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230310T061502_20230310T061529_047578_05B6A8_DF86.zip","4483.112679481506","","","0","S1A_IWDV_0417_0424_047578_081","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230310T061437_20230310T061504_047578_05B6A8_80F2","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47578","81","413","2023-03-10T06:15:04.000000","2023-03-10T06:14:37.000000","SLC","2023-03-10T06:14:37.000000","2023-03-10T06:15:04.000000","53.7922","0.2936","54.37825","2.5249","54.792286","-1.45877","52.761898","1.954693","53.171967","-1.875976","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230310T061437_20230310T061504_047578_05B6A8_80F2.zip","4177.168519973755","","","0","S1A_IWDV_0413_0418_047578_081","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230310T061411_20230310T061439_047578_05B6A8_C482","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","47578","81","408","2023-03-10T06:14:39.000000","2023-03-10T06:14:11.000000","SLC","2023-03-10T06:14:11.000000","2023-03-10T06:14:39.000000","55.3002","0.7664","55.907703","3.097137","56.326572","-1.046595","54.242271","2.477731","54.656075","-1.493341","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230310T061411_20230310T061439_047578_05B6A8_C482.zip","3848.9423999786377","","","0","S1A_IWDV_0407_0414_047578_081","","","","","","","","","","",""
